Date,temp_max,temp_min
2023-01-01,16,11
2023-01-02,13,10
2023-01-03,11,1
2023-01-04,9,-1
2023-01-05,9,4
2023-01-06,7,-1
2023-01-07,8,3
2023-01-08,7,1
2023-01-09,5,1
2023-01-10,6,3
2023-01-11,7,1
2023-01-12,10,4
2023-01-13,9,5
2023-01-14,9,4
2023-01-15,8,3
2023-01-16,7,1
2023-01-17,7,-4
2023-01-18,1,-4
2023-01-19,1,-5
2023-01-20,0,-6
2023-01-21,1,-1
2023-01-22,1,0
2023-01-23,1,0
2023-01-24,1,0
2023-01-25,0,-1
2023-01-26,0,0
2023-01-27,1,-1
2023-01-28,-1,-3
2023-01-29,0,-2
2023-01-30,4,-1
2023-01-31,7,2
